progress,"n.前进,进步,发展vi.前进,进步,进行"
fell," vbl.fall 的过去式vt.击倒,打倒(疾病等),致于...死地,砍伐n.一季所伐的木材,兽皮,羊毛adj.凶猛的,可怕的"
fetch,"vt.接来,取来,带来,售得,引出,吸引,到达,演绎出vi.取物,绕道而行n.取得,拿,诡计,魂"
filter,"n.滤波器,过滤器,滤光器,筛选vt.过滤,渗透,用过滤法除去vi.滤过,渗入,(消息等)走漏,慢慢传开"
filament,"n.细丝,灯丝"
filth,"n.污秽,污物,不洁,猥亵"
fist,"n.拳头,手,抓住,抓牢vt.拳打,握成拳,紧握"
fission,"n.裂开,分裂,分体,[原]裂变v.[原](使)裂变"
foam,"n.泡沫,水沫,泡沫材料,泡沫橡皮,泡沫塑料vi.起泡沫,冒汗水,吐白沫vt.使起泡沫"
fold,"n.折,羊栏,折痕,信徒vt.折叠,包,合拢,抱住,笼罩,调入,交迭vi.折叠起来,彻底失败"
force,"n.力量,武力,精力,魄力,势力,暴力,[复]军队,影响力vt.强制,强加,(用武力)夺取,促使,推动,施加压力"
enforce,"vt.强迫,执行,坚持,加强"
forge,"v.稳步前进,铸造,伪造"
fossil,"n.化石,僵化的事物adj.化石的,陈腐的,守旧的"
foster,"vt.养育,抚育,培养,鼓励,抱(希望) n.养育者,鼓励者"
foul,"adj.污秽的,邪恶的,肮脏的,淤塞的,恶劣的vt.弄脏,妨害,污蔑,犯规,淤塞vi.腐烂,犯规,缠结n.犯规,缠绕adv.违反规则地,不正当地"
fortnight,n.两星期
frost,"n.霜,霜冻,严寒v.结霜"
fuel,"n.燃料vt.加燃料,供以燃料vi.得到燃料"
fry,"n.油炸食物,油炸锅,鱼苗,鱼秧v.油炸,油煎"
function,"n.官能,功能,作用,职责,典礼,仪式,[数]函数vi.(器官等)活动,运行,行使职责"
funeral,"n.葬礼,出殡"
fatigue,"n.疲乏,疲劳,累活,[军]杂役vt.使疲劳,使心智衰弱vi.疲劳"
fulfill,"vt.履行,实现,完成(计划等)"
fill,"vt.装满,注满,充满,填充,弥漫,供应,供给,满足vi.充满n.满足,饱,充分,填方v.填充"
gallery,"n.走廊、戏院、教堂等中最高的楼座,美术陈列室,画廊,图库"
gamble,"n.冒险v.赌博,投机,孤注一掷"
jail,n.监狱vt.监禁
garage,"n.汽车间,修车厂,车库v.放入车库"
gasp,"vi.喘息,气喘vt.气吁吁地说"
gauge,"n.标准尺,规格,量规,量表v.测量"
gaze,"v.盯,凝视n.凝视"
giant,"n.巨人,大力士,巨大的动物或植物,伟人,天才adj.庞大的,巨大的"
gigantic,"adj.巨人般的,巨大的"
glance,"vi.扫视,匆匆一看n.一瞥,眼光,匆匆一看"
glue,"n.胶,胶水vt.胶合,粘贴,粘合"
govern,"v.统治,支配,管理"
grab,"v.抢夺,攫取,夺取"
grant,"vt.同意,准予,承认(某事为真)～"
bestow,"vt.给予,安放"
grand,"adj.盛大的,豪华的,重大的,主要的,极重要的"
grateful,"adj.感激的,感谢的"
greed,"n.贪欲,贪婪"
grasp,"vt.抓住,抓紧,掌握,领会n.抓住,抓紧,掌握,领会"
grip,"vt.紧握,紧夹n.掌握,控制,把手v.抓住"
grin,"n.露齿笑,裂口笑v.露齿而笑"
grind,"v.磨(碎),碾(碎),折磨"
grope,v.n.摸索
gross,"adj.总的,毛重的n.总额"
grove,n.小树林
groove,"n.(唱片等的) 凹槽,惯例,最佳状态vt.开槽于"
growl,"v.咆哮,发牢骚地说n.咆哮声,怨言"
grumble,"adj.抱怨地表示,嘟囔地说n.怨言,满腹牢骚vi.抱怨,发牢骚,咕哝,嘟囔,隆隆响vt.喃喃地说出"
grunt,"vi.(猪等)作呼噜声,(表示烦恼、反对、疲劳、轻蔑等)发哼声vt.咕哝着说出n.呼噜声,咕哝"
groan,"n.呻吟,叹息vi.呻吟,受折磨,受压迫发出嘎吱声vt.呻吟着说"
guilty,"adj.犯罪的,有罪的,心虚的"
gym," gymnasium 体育;n.体育馆,体操"
hail,"n.冰雹,致敬,招呼,一阵vt.向...欢呼,致敬,招呼,使象下雹样落下,猛发vi.招呼,下雹int.万岁,欢迎"
harbor,n.海港
haste,"n.匆忙,急忙"
hazard,"n.冒险,危险,冒险的事vt.冒...的危险,赌运气,使遭危险"
heal,"v.治愈,医治,结束"
helicopter,"n.直升(飞)机,直升机"
hesitate,"v.犹豫,踌躇,不愿"
honor,"n.尊敬,敬意,荣誉,光荣vt.尊敬,给以荣誉"
hook,"n.钩,吊钩v.钩住,沉迷,上瘾"
horror,"n.惊骇,恐怖,惨事,极端厌恶"
immense,"adj.极广大的,无边的,<口>非常好的"
iron,"n.铁,熨斗,坚强,烙铁,镣铐vt.烫平,熨,用铁装备vi.烫衣服"
item,"n.(可分类或列举的)项目,条款,(消息、情报等的)一则,一条"
joint,"n.接缝,接合处,接合点,关节,(牛、羊等的腿)大块肉adj.共同的,联合的,连接的,合办的vt.连接,接合,使有接头vi.贴合,生节"
journal,"n.定期刊物,杂志,航海日记,分类账"
kit,"n.成套工具,用具包,工具箱,成套用具"
kernel,"n.(硬壳果)仁,(去壳的)麦粒,谷粒,(事物、问题的)核心,要点,精髓,内核"
colonel,"n.陆军上校,团长"
marshal,"n.元帅,典礼官,执行官,司仪官vt.整顿,配置,汇集vi.排列,集合"
sheriff,"n.郡治安官,州长"
laboratory,n.实验室
launch,"n.下水,汽艇,发射,发行,投放市场vt.使(船)下水,掷(标枪等),发射(导弹、火箭等),开办,发动,发起vi.起飞,下水,投入,开始"
laundry,"n.洗衣店,要洗的衣服,洗熨"
layer,"n.层,阶层"
lean,"n.倾斜,倾斜度,倚靠,倾向adj.瘦的,贫乏的,歉收的vi.倚靠,倾斜,依赖,倾向,偏向vt.使倾斜"
leisure,"n.空闲,闲暇,悠闲,安逸"
liner,"n.<美>班机,划线者,衬垫"
liquid,"n.液体,流体,流音adj.液体的,清澈的,透明的,明亮的,流动的,易变的,(财务)易变卖的"
load,"n.负荷,重担,装载量,工作量,负载,加载vt.装载,装填,使担负vi.装货,装弹药,装料"
loaf,"n.一条面包,块,游荡v.游荡,虚度光阴"
majesty,"n.最高权威,王权,雄伟"
mature,"adj.成熟的,到期的,充分考虑的,(票据等)到期的vt.使成熟vi.成熟,到期"
mayor,n.市长
mean,"adj.低劣的,卑鄙的,普通的,吝啬的,简陋的,平均的,惭愧的,不舒服的vt.意谓,想要,预定vi.用意,有意义n.平均数,中间,中庸"
means,"n.手段,方法v.意味,想要"
medal,"n.奖章,勋章,纪念章v.授予...奖章"
melt,"v.(使)融化,(使)熔化,使软化,使感动"
menace,"n.威胁,危险物v.恐吓,危及,威胁"
merit,"n.优点,价值v.有益于"
messenger,"n.报信者,使者"
method,n.方法
metropolis,"n.首都,主要都市,都会,大主教教区,大城市"
millionaire,"n.百万富翁,大富豪"
millimeter,n.毫米
moist,adj.潮湿的n.潮湿
monument,n.纪念碑
mold,"n.模子,铸型vt.浇铸,塑造"
mute,"n.哑巴,哑音字母,[律]拒不答辩的被告,弱音器adj.哑的,无声的,沉默的vt.减弱...的声音vi.排泄"
mystery,"n.神秘,神秘的事物"
nap,"n.(白天)小睡,打盹,细毛,孤注一掷;vi.小睡,疏忽;vt.使拉毛,修整,预测...为获胜马;Nationa Attachment Point,国家附属站点"
necessity,"n.必要性,需要,(常 pl.) 必需品"
noble,"adj.高尚的,贵族的,高贵的n.贵族"
obstacle,"n.障碍,妨害物"
occasion,"n.场合,时机,机会"
occupy,"vt.占,占用,占领,占据"
odds,"n.可能的机会,成败的可能性,优势,不均,不平等,几率,差别"
organ,"n.[机]元件,机构,机关,机关报 [乐]风琴,管风琴,嗓音 [生物]器官"
orient,"n.东方,东方诸国(指地中海以东各国)adj.东方的,上升的,灿烂的vi.适应形势,向东vt.使朝东,使适应,确定方向"
overwhelm,"vt.淹没,覆没,受打击,制服,压倒"
pace,"n.(一)步,速度,步调,步法,步态vi.踱步,缓慢的走vt.用步测,踱步于,(马)溜花蹄"
palace,"n.宫,宫殿"
parcel,"n.小包,包裹vt.打包,捆扎"
peculiar,"adj.奇特的,罕见的,特殊的n.特有财产,特权"
penalty,"n.处罚,罚款"
phase,"n.阶段,状态,相,相位v.定相"
pilot,"n.飞行员,领航员,引水员vt.驾驶(飞机等),领航,引水v.驾驶"
pin,"n.钉,销,栓,大头针,别针,腿vt.钉住,别住,阻止,扣牢,止住,牵制"
pipe,"n.管,导管,烟斗,管乐器,笛声vt.以管输送,吹哨子vi.吹笛,尖叫"
plunge,"n.跳进,投入vi.投入,跳进,陷入vt.使投入,使插入,使陷入"
poison,"n.毒药,败坏道德之事,毒害vt.毒害,败坏,使中毒vi.放毒,下毒"
pole,"n.棒,柱,杆,竿,极,磁极,电极vt.用竿支撑,用棒推vi.撑篙 Pole 波兰人"
powder,"n.粉,粉末,火药,尘土vt.搽粉于,撒粉,使成粉末vi.搽粉,变成粉末"
practice,"n.实行,实践,实际,惯例,习惯,练习,实习,开业"
punctual,"adj.严守时刻的,准时的"
puzzle,"n.难题,谜v.(使)迷惑,(使)为难,迷惑不解"
qualitative,"adj.性质上的,定性的"
questionnaire,"n.调查表,问卷"
quote,"vt.引用,引证,提供,提出,报(价)"
rail,"n.横杆,围栏,扶手,铁轨vt.以横木围栏,铺铁轨vi.责骂,抱怨"
rake,"n.耙子,斜度,向船尾的倾斜,放荡者v.搜索,掠过,用耙子耙,(使)倾斜"
random,"n.随意,任意adj.任意的,随便的,胡乱的adv.胡乱地"
rare,"adj.稀罕的,杰出的,珍贵的,(肉类)半熟的adv.非常"
rate,"n.比率,速度,等级,价格,费用vt.估价,认为,鉴定等级,责骂vi.被评价,责骂"
ratio,"n.比,比率,[财政]复本位制中金银的法定比价"
readily,"adv.乐意地,欣然,容易地"
reap,"v.收割,收获"
rear,"n.后面,背后,后方,屁股adj.后面的,背面的,后方的vt.培养,饲养,举起,树立,栽种vi.高耸,暴跳,用后腿站起"
reconcile,"vt.使和解,使和谐,使顺从"
rhythm,"n.节奏,韵律"
rigid,"adj.刚硬的,刚性的,严格的"
rigorous,"adj.严格的,严厉的,严酷的,严峻的"
roar,"n.吼叫,怒号vi.吼叫,怒号v.滚动,咆哮"
rot,"v.(使)腐烂,(使)腐败n.腐烂,腐败"
route,"n.路线,路程,通道v.发送"
routine,"n.例行公事,常规,日常事务,程序"
sacrifice,"n.牺牲,献身,祭品,供奉v.牺牲,献出,献祭,供奉"
sake,"n.为了...之好处,出于对...的兴趣,缘故,理由,日本米酒"
forsake,"vt.放弃,抛弃"
satisfy,"vt.满足,使满意,说服,使相信v.满意,确保"
saturate,"v.使饱和,浸透,使充满"
scarce,"adj.缺乏的,不足的,稀有的,不充足的"
scatter,"v.分散,散开,撒开,驱散"
scrape,"n.刮,擦,擦痕,刮擦声,困境vi.刮掉,擦掉,刮出刺耳声vt.刮,擦,擦伤,挖成"
scrap,"n.小片,废料,剪下来的图片,文章,残余物,废料,打架vt.扔弃,敲碎,拆毁vi.互相殴打adj.零碎的,废弃的"
sculpture,"n.雕刻,雕刻品,雕塑,雕塑品,[地理] 刻蚀v.雕刻,雕塑,刻蚀"
scratch,"n.乱写,刮擦声,抓痕,擦伤vt.乱涂,勾抹掉,擦,刮,搔,抓,挖出vi.发刮擦声,搔,抓adj.打草稿用的,凑合的"
scramble,"n.爬行,攀缘,抢夺,混乱vi.攀缘,杂乱蔓延,争夺,拼凑,匆忙vt.攀登,搅乱,使混杂"
scrub,"v.洗擦,擦净,使(气体)净化,擦洗n.洗擦,擦净,擦洗者,矮树,灌木,丛林地,矮小的人(或动物)adj.次等的,矮小的,临时凑合的"
shadow,"n.阴影,影子,影像,预兆,庇护,隐蔽处,阴暗,少许vt.遮蔽,使朦胧,预示,尾随vi.渐变,变阴暗"
shallow,"adj.浅的,浅薄的"
shed,"vt.流出,发散,散发,脱落,脱皮,摆脱n.分水岭,棚,小屋,工棚,货棚v.把...放入棚内,流下"
shelter,"n.掩蔽处,身避处,掩蔽,保护,庇护所,掩体v.掩蔽,躲避"
shield,"n.防护物,护罩,盾,盾状物vt.(from) 保护,防护v.遮蔽"
shift,"n.移动,轮班,移位,变化,办法,手段vt.替换,转移,改变,移转,推卸,变速vi.转换,移动,转变,推托,变速"
switch,"n.开关,电闸,转换vt.转换,转变"
shrink,"v.收缩,(使)皱缩,缩短"
sin,"n.[俗] 违背习俗,不合情理之事,过失,罪过,[数学] 正弦函数"
sincere,"adj.诚挚的,真实的,真诚的"
skip,"v.跳,蹦,急速改变,跳读,遗漏,跳跃n.跳跃"
source,"n.来源,水源,消息来源,原始资料,发起者 源,源极"
spacious,"adj.广大的,大规模的"
split,"v.劈开,(使)裂开,分裂,分离n.裂开,裂口,裂痕"
stake,n.树桩
statistical,"adj.统计的,统计学的"
statue,vt.以雕像装饰n.雕像
status,"n.身份,地位,情形,状况"
stern,"adj.严厉的,苛刻的n.船尾"
strategy,"n.策略,军略"
tactic,"n.策略,战略adj.按顺序的,排列的"
stretch,"v.伸展,伸长n.一段时间,一段路程,伸展"
stride,"v.大步走(过),跨过,大步行走n.步幅"
string,"n.线,细绳,一串,一行v.排成一列"
chord,"n.弦,和音,情绪n.[解]腱"
strip,"vt.剥,剥去n.条,带"
stripe,"n.斑纹,条纹"
stroll,"n.漫步,闲逛,四处流浪v.闲逛,漫步,跋涉于"
ramble,v.漫游n.漫游
roam,"v.漫游,闲逛,徜徉n.漫步,漫游,徘徊"
surpass,"vt.超越,胜过"
swell,"v.(使)膨胀,增大"
swing,"v.摇摆,摆动,回转,旋转n.秋千,摇摆,摆动"
token,"n.表示,向征,记号,代币adj.象征的,表意的"
trap,"n.圈套,陷阱,诡计,活板门,存水弯,汽水闸,(双轮)轻便马车vi.设圈套,设陷阱vt.诱捕,诱骗,计捉,设陷,坑害,使受限制"
tremble,"n.战栗,颤抖vi.战栗,发抖,震动,(树叶等)摇晃.摇动,焦虑vt.挥动,用颤抖的声音说出"
trigger,"vt.引发,引起,触发n.板机"
tuition,n.学费
tumble,"n.跌倒,摔跤,翻斤斗vi.翻倒,摔倒,倒塌,滚动,翻筋斗,仓惶地行动vt.使摔倒,使滚翻,弄乱"
stumble,"v.绊倒,使困惑,蹒跚,结结巴巴地说话,踌躇n.绊倒,错误"
twist,"n.一扭,扭曲,盘旋,曲折,歪曲,手法,螺旋状vt.拧,扭曲,绞,搓,捻,使苦恼,使转动,编织vi.扭弯,扭曲,缠绕,扭动,呈螺旋形"
unanimous,"adj.意见一致的,无异议的"
vanish,"vi.消失,突然不见,[数]成为零n.[语]弱化音"
wander,"vi.漫步,徘徊,迷路,迷失方向,离题"
weary,"adj.疲倦的,厌倦的,令人厌烦的,疲劳v.疲倦,厌倦,厌烦"
wit,"n.智力,才智,智慧"
yield,"v.出产,生长,生产vi.(～ to)屈服,屈从n.产量,收益"
about,"adv.附近,大约,转向,左右,周围;prep.在附近,关于,在...周围,忙于"
above,"adj.上面的,上述的,上文的;adv.在上面;prep.在...上方,过于,超出"
across,"adv.横过,交叉地,在对面 prep.越过,交叉,在...的那边,在...对面那边"
adverb,n.副词
adjective,n.形容词
after,"adv.prep.conj.在...之后,在...后面,模仿,与...一致,以...命名,后来的,后面的"
again,"adv.又,再次,此外,再一次"
against," prep.相反,反对,逆着,靠着,倚着"
ago,"adv.以前的,以往的"
alike,"adj.相同的,相似的adv.以同样的方式,类似于"
all,"adj.全部的,所有的,整个的adv.完全,更加,越发 pron.全部"
almost,"adv.几乎,差不多"
along,"adv.往前,向前 prep.顺着,沿着"
already,adv.已经
also,"adv.也,同样"
although," conj.虽然,尽管"
always,"adv.总是,永远,始终"
another,"adj.另外的,又一,不同的 prep.另一个,另一个人,同类的东西"
any,"adj.任何的,任何一种,所有的 pron.无论那一个,任何"
anybody," pron.任何人,重要人物"
anyhow,"adv.无论如何,总之"
anyone, pron.任何一个
anything, pron.任何事
anyway,"adv.无论如何,总之"
anywhere,adv.无论何处
around,"adv.周围,四周,到处,大约,左右 prep.在...周围,四处"
aside,"adv.在旁边,到旁边"
away,"adv.在远处,到远处,离去"
before,"adv.在前,以前 prep.在...之前 conj.在...之前,与其...宁可"
besides,adv.此外 prep.除...之外
beside," prep.在旁边,和...比较"
below," prep.在...下面,adv.在下,在页底"
but," prep.除...以外 conj.而是,但是adv.几乎,仅仅"
between," prep.在...之间,连接...,由...协力合作"
else,"adj.别的,其他的adv.另外,其他"
elsewhere,adv.在别处
even,"adj.平的,平滑的,偶数的,一致的,平静的,恰好的,平均的,连贯的adv.[加强语气]甚至(...也),连...都,即使,恰好,正当vt.使平坦,使相等vi.变平,相等n.偶数,偶校验"
ever,"adv.曾经,永远,不断地,在任何时候,究竟"
every,"adj.每一的,每个的,全部的,每隔...的"
everybody,"int.每个人,人人"
everyday,"adj.每天的,日常的,平常的,平凡的"
everyone," pron.每个人,人人"
everything," pron.每件事物,万事"
everywhere,"adv.各处,到处"
few,"adj.很少的,不多的,少数的n.[表示否定]很少数,几乎没有"
from," prep.从,今后,来自,由于"
in," prep.在...之内(上),在...期间,从事于,符合,穿着;adv.进入,朝里,在家,已到达(来临);adj.在里面的,执政的;n.执政者,入口;India,印度;In,元素铟(indium);Intelligent Network,智能网络"
maybe,"adv.大概,或许n.疑虑"
more,"adj.更多的n.更多adv.更,更多,更加,超过,多,大大高于 num.更多"
moreover,"adv.而且,此外"
most,"adj.最多的,多数的,大部分的adv.最,最多,很,十分,最,最大的,其中大多数,极其n.大多数,大部分"
next,"n.adj.下次的,其次的,与...连接,下一个adv.下一次,其次"
nor, conj.也不
of," prep....的,由...制成的,离,关于,对于"
off,"adj.远的,空闲的,不工作的adv.离开,在远方,离去,分离,中断,完成 prep.从...离开,脱离"
on," prep.在...之上,依附于,临近,靠近,向,在...时候,关于,涉及adv.在上,向前,行动中,作用中"
only,"adj.唯一的,单独的,最好的,最合适的adv.仅仅,只不过 conj.但是,可是"
onto, prep.在...之上
or," conj.或,或者,还是 [军] Operational Requirement,作战需求 [军] Operations Research,运筹学研究"
other,"adj.其他的,另外的,从前的 pron.其他的,他人,另外一个adv.另外地,不同地"
out,"adj.外面的,下台的,出局的adv.在外,出声地,显露出来地,明显地,从头至尾地n.外面,外出,外观vt.赶出,击倒,使退场vi.外出,暴露 prep.通过"
over,"adv.结束,越过,从头到尾 prep.在...之上,越过adj.上面的vt.额外的东西,越过n.额外的东西"
rarely,"adv.很少地,罕有地"
so," conj.因而,所以,那么,这样看来adv.[表示程度] 如此,那么,非常,很,[表示方式] 这样,那样,如此,因此 [域] Somalia ,索马里"
somebody,"n.重要人物,有名气的人 pron.有人,某人"
somehow,adv.不知何故
someone," pron.有人,某人"
something," pron.某事,某物adj.有点象,大约"
sometime,"adv.在某一时候,曾经,有一天"
sometimes,"adv.不时,有时"
somewhat,"adv.稍微,有点,有些"
somewhere,"adv.某处,在某处"
still,"n.寂静,剧照,照片adj.静止的,静寂的adv.还,仍,更,还要,尽管如此,依然 静止画面,静态图片"
such,"adj.这样的,这种,某一 pron.这样的人(们)或物"
through," prep.穿过,通过,从开始到结束,经由,以adv.从头到尾,自始至终,直达地,彻底,完全adj.直达的,直通的"
throughout," prep.遍及,贯穿adv.到处,始终,全部"
when," conj.就在那个时候,在...的时候adv.什么时候,...的时候 pron.什么时侯,那时"
whenever," conj.无论何时,随时n.只要"
where,"adv.什么地方,在哪里,...的(地方)"
whereas," conj.然而,反之,鉴于,尽管,但是"
with," prep.有,以,用,同...,由于,和...一致,赞成,关于,就"
within,"n.内部,里头adv.在内部,在内心里 prep.在...之内,不越出adj.里面的,内部的"
without," prep.没有,不,(表条件)如果没有,要没有adv.在外,在屋外"
