arroyo,"n. 干涸沟壑, 旱谷, 小河"
astounding,a. 令人惊骇的
awful,"a. 可怕的, 庄严的, 虔敬的"
claustrophobia,"n. 幽闭恐怖症
[医] 幽闭恐怖"
throes,"n. 阵痛, 临死的苦痛, 垂死的挣扎, 剧痛, 痛苦, 苦闷, 苦难, 艰苦的奋斗"
afflict,"vt. 使苦恼, 折磨"
affliction,"n. 苦恼, 折磨, 苦恼的事由"
aggrieve,"vt. 使委屈, 使悲痛, 侵害
[法] 侵害, 使悲痛, 使委屈"
agony,"n. 极大的痛苦, 挣扎
[医] 濒死苦闷; 剧痛"
anguish,"n. 剧痛, 痛苦
vt. 使极痛苦
vi. 感到痛苦"
careworn,adj. 饱经风霜
distress,"n. 苦恼, 贫困, 痛苦
vt. 使苦恼
a. 亏本出售的"
embitter,"vt. 使受苦, 使(更)恶化, 使怨恨, 加苦味于"
excruciate,"vt. 施酷刑, 拷问, 使苦恼, 折磨"
excruciating,"a. 极痛苦的, 折磨人的, 精心制作的"
gnawing,"n. 咬, 不断的苦痛
a. 咬的, 令人苦恼的"
harrowing,"a. 痛心的, 悲惨的
[医] 神经纤维松解法"
infliction,"[法] 处罚, 加刑, 刑罚"
irksome,"a. 厌恶的, 讨厌的, 令人厌烦的"
mortify,"vt. 抑制, 苦修, 使受辱
vi. 禁欲, 苦修"
ordeal,"n. 严酷考验, 痛苦经历, 煎熬
[法] 神裁判法, 严酷的考验, 痛苦的经验"
pang,"n. 剧痛, 悲痛, 苦闷
vt. 使剧痛, 折磨"
setback,"na. 阻碍；延迟；〈非正式〉花费
[网络] 推迟；推迟，延缓；使退步"
thwart,"a. 横放的
vt. 反对, 阻挠, 横过
prep. 横过
adv. 横过"
torment,"n. 使人痛苦的东西, 折磨者, 苦痛
vt. 使苦恼, 纠缠, 歪曲, 拷问"
torture,"n. 拷问, 苦闷
vt. 拷问, 曲解, 折磨, 使弯曲"
twinge,"n. 一阵一阵痛, 刺痛, 剧痛
vt. 使一阵一阵痛, 使刺痛"
woe,"n. 悲哀, 悲痛, 苦痛"
travail,"n. 分娩的痛苦, 阵痛, 辛劳
vi. 发生阵痛, 辛劳"
truncate,"vt. 切去头端, 缩短, 截棱, 使成平面
a. 切去了头的, 缩短了的"
harrow,"n. 哈罗公学, 耙
vt. 耙掘, 伤害, 使苦恼
vi. 被耙松"
inflict,"vt. 施以, 加害, 使承受
[法] 处, 加, 予以"
scourge,"n. 鞭, 苦难根源, 灾祸
vt. 鞭打, 痛斥, 蹂躏"
animosity,"n. 仇恨, 憎恶, 敌意"
animus,"n. 基本态度, 敌意, 意向
[医] 男性意象(精神分析用词)"
aversion,"n. 厌恶, 讨厌的事, 讨厌的人
[医] 厌恶, 移转, 移位"
abhorrent,"a. 令人憎恨的, 可恶的, 厌恶的, 相抵触的, 不一致的"
aggression,"n. 侵犯, 侵略
[医] 攻击"
antagonistic,"a. 对抗的, 敌对的
[化] 拮抗药"
boredom,"n. 厌烦, 厌倦, 令人厌烦的事物"
detest,"vt. 厌恶, 憎恨"
detestable,"a. 可憎的, 可恶的"
disgust,"n. 厌恶, 嫌恶
vi. 令人厌恶
vt. 使作呕"
enmity,"n. 敌意, 憎恨"
execration,"n. 憎恶, 诅咒, 被咒骂的人(或事)"
hostile,"a. 敌人的, 怀敌意的, 敌对的
n. 敌对分子"
hostility,"n. 敌意, 敌对, 反对"
infernal,"a. 阴间的, 恶魔的"
inimical,"a. 有敌意的, 有害的, 抵触的"
loath,"a. 不情愿的, 厌恶的"
odium,"n. 憎恶, 讨厌, 臭名"
rancor,"n. 敌意, 深仇"
repugnance,"n. 反感, 厌恶, 不一致, 矛盾, 抵触
[法] 不一致, 矛盾, 不一致之处"
resent,vt. 怨恨；愤恨；厌恶
resentment,"n. 怨恨, 愤恨"
revulsion,"n. 剧变, 厌恶, 强烈反感
[医] 诱导法"
unpalatable,"a. 不可口的, 味道差的, 不好吃的"
vendetta,"n. 族间仇杀, 世仇, 宿怨
[法] 血仇, 近亲复仇, 世仇"
loathing,"n. 非常讨厌, 嫌恶, 极不情愿"
buxom,"a. (妇女)丰满的, 健美的"
cherubic,"a. 天使的, 无邪的, 可爱的"
corpulent,"a. 肥大的, 肥胖的
[医] 肥胖的"
corpulence,"n. 肥胖
[医] 肥胖"
paunchy,"a. 大肚子的, 大腹便便的"
plump,"a. 圆胖的, 丰满的, 直接下落的, 直率的
vt. 突然放下, 支持, 使丰满, 使鼓起
vi. 扑通落下, 投票赞成, 变丰满, 鼓起
adv. 沉重地, 突然地, 直截了当地"
rotund,"a. 圆的, 圆胖的, 洪亮的, (表现)华丽的"
squat,"n. 蹲, 窝
a. 蹲着的, 矮胖的
vi. 蹲下, 蹲坐, 蹲伏
vt. 使蹲下, 擅自占有"
obese,"a. 肥胖的
[医] 肥胖的"
stocky,"a. 矮胖的, 健壮结实的"
stout,"a. 结实的；矮胖的；勇敢的；激烈的
n. 矮胖子；烈性啤酒"
longevity,"n. 长命, 长寿, 寿命
[医] 长寿"
tonic,[网络] 网卡连接口；隔离卡网卡的连接口
brawny,"a. 肌肉结实的, 顽强的
[医] 多肉的, 肌肤的"
burly,"a. 结实的, 粗壮的, 率直的"
hale,"a. 强壮的, 矍铄的, 健壮的
vt. 猛拉, 拖曳"
hardy,"a. 难的, 艰苦的, 坚硬的, 勇敢的
adv. 努力地, 辛苦地, 坚硬地"
robust,"a. 健康的, 强健的, 要用力气的, 坚定的, 粗野的
[计] 健壮性"
stalwart,"n. 健壮的人
a. 高大结实的, 坚定的"
vigorous,"a. 精力充沛的, 元气旺盛的, 茁壮的, 有力的"
virile,"a. 男性的
[医] 男性的, 有男性征的"
virility,"n. 成年, 男性生殖力, 男子气概, 精力充沛, 雄浑, 刚强有力
[医] 男性, 有男性征"
angular,[网络] 矩形
curvaceous,"a. 曲线美的, 肉体美的"
emaciate,"vt. 使消瘦, 使憔悴
vi. 消瘦"
emaciation,"n. 瘦弱, 憔悴, 衰弱
[医] 消瘦"
gangling,a. 瘦长难看的
gangly,a. 身材瘦长的
haggard,"n. 野鹰
a. 憔悴的, 形容枯槁的, 野性的"
macerate,"vi. 浸软, 消瘦
vt. 把...浸软, 使消瘦"
peak,"n. 山峰, 巅, 山顶, 顶点, 尖峰, 帽舌
a. 最高的, 最大值的
vi. 到达最高点, 消瘦, 变憔悴, 逐渐缩小
vt. 使竖起, 使达到最高点"
peaky,"a. 有峰的, 多峰的, 尖的, 消瘦的"
puny,"a. 微小的, 弱小的, 微不足道的"
spindly,"a. 纺锤形的, 细长的"
slender,"a. 苗条的, 纤弱的, 微少的, 微薄的
[机] 细的, 纤细的"
svelte,a. 苗条的；线条清晰的；和蔼的
willowy,"a. 柳树多的, 易弯的, 苗条的, 优雅的"
cadaverous,"a. 象尸体的, 惨白的
[医] 似尸体的, 尸体样的"
emaciated,"a. 瘦弱的, 衰弱的"
pout,"n. 撅嘴, 生气, 条鳕
v. 撅嘴"
demeanor,"行为, 品行, 举止"
dab,"n. 少量, 轻拍, 比目鱼, 熟手
v. 轻拍, 轻擦"
beat,"从事于,做"
bludgeon,"n. 大头棒
[法] 棍, 棍打"
bump,"n. 撞击, 肿块
vt. 碰撞
vi. 撞, 颠簸而行"
butt,"n. 粗大的一头, 烟头, 靶, 笑柄
[医] 对核"
clash,"n. 冲突, 撞击声, 抵触
vi. 冲突, 抵触
vt. 使发出撞击声
[计] 对撞"
collision,"n. 碰撞, 冲突, 抵触
[计] 冲突"
contact,[网络] 装饰用套子
crouch,"n. 蹲伏, 蜷缩
vi. 蹲下, 蜷着, 缩着
vt. 低头"
cuddle,"n. 搂抱, 拥抱
vt. 抚抱, 抱着睡, 拥抱
vi. 依偎, 依偎着躺在一起"
elevate,"vt. 举起, 提拔, 鼓舞"
embrace,"n. 拥抱
vt. 拥抱, 互相拥抱, 包含, 收买
vi. 拥抱"
flagellate,"vt. 鞭打, 鞭挞
a. 鞭状的, 鞭索形的, 有鞭毛的
n. 鞭毛虫"
flail,"n. 连枷
v. 用连枷打, 打"
flick,"n. 快速的轻打, 轻打声, 弹开
v. 轻弹, 轻轻拂去, 忽然摇动"
fondle,"vt. 爱, 爱抚, 溺爱
vi. 爱抚"
gesticulate,"v. 用手势谈话, 用姿势表达"
gesture,"n. 手势, 姿态
vi. 作手势, 作姿态"
hearken,vi. 倾听
heave,"n. 举, 抛, 起伏, 鼓起
vt. 用力举起, 使举起, 使鼓起
vi. 抛出, 起伏, 喘息, 凸起"
jerk,"n. 性情古怪的人, 急拉, 肌肉抽搐, 牛肉干
vi. 痉挛, 急拉, 急推
vt. 猛拉"
lash,"n. 鞭子, 鞭打, 睫毛, 责骂, 讽刺
vt. 鞭打, 摆动, 扎捆, 冲击, 讽刺, 煽动
vi. 冲洗, 鞭打, 责骂"
lug,"v. 拖, 拉
n. 一拖, 一拉, 耳朵, 耳状物, 装腔作势, 勒索"
lurch,"n. 惨败, 倾斜, 挫折, 举步蹒跚, 徘徊
vi. 惨败, 倾斜, 徘徊
vt. 击败"
masticate,v. 咀嚼
nudge,"n. 用肘轻推, 推动, 讨厌家伙"
palpitate,"vi. 悸动, 心跳, 发抖
[医] 心悸"
perspire,"v. 出汗, 流汗, 分泌, 渗出"
pinch,"n. 捏, 拧, 撮, 少量, 收缩, 挤压, 夹痛, 苦恼, 逮捕, 指控, 匮乏, 紧急关头
vt. 捏, 拧, 掐, 挤压, 修剪, 使困苦, 使萎缩, 节制, 少量加入, 逮捕, 勒索
vi. 收缩, 节省, 挤压, 引起苦恼"
plunge,"n. 钻进, 跳进, 跳水, 跳水池, 猛跌, 落下, 投入, 开始从事, 盲目投资
vi. 投入, 投身于, 跳进, 陷入, 下降
vt. 使投入, 使插入, 使陷入, 使遭受"
pugilism,n. 拳击
pummel,"vt. 击, 打, 揍"
punch,"n. 冲压机；打洞器；钻孔机
vt. 开洞；以拳重击
vi. 用拳猛击
n. (Punch)人名；(马来)蓬芝；(英)庞奇"
salutation,"n. 招呼, 寒喧, 问候"
salute,"vi. 行礼, 致意, 问候, 放礼炮
vt. 向...致意, 迎接, 赞扬
n. 招呼, 敬礼, 礼炮"
shove,"n. 推, 挤
vt. 推挤, 猛推, 强使
vi. 推"
shudder,"n. 战栗, 发抖
vi. 战栗, 发抖"
sling,"n. 投石器, 抛掷, 吊索, 吊钩
vt. 用投石器投掷, 用吊钩吊上, 吊起"
sock,"n. 短袜, 鞋垫, 一击
vt. 重击, 猛投, 给...穿袜
vi. 打击
adv. 正着地, 不偏不倚地
a. 非常成功的"
spank,"vt. 打, 拍击, 飞跑
vi. 飞跑
n. 拍打, 一巴掌"
squeeze,"n. 紧握, 挤, 榨, 榨取, 佣金
vt. 紧握, 挤, 榨取
vi. 压榨, 榨"
stance,"n. 准备击球姿势, 站立的姿势, 位置, 姿态
[经] 地位, 形势"
stroke,"n. 笔划, 打, 中风, 抚, 摩, 冲程
vt. 划尾桨, 抚, 摩, 划去
[计] 笔划"
swipe,"n. 强打, 用力挥击, 尖刻的话, 碰擦, 起重杆
vt. 强打, 用力挥击, 偷"
taut,"a. 拉紧的, 整洁的, 紧张的"
tauten,"v. 使绷紧, 拉紧"
tickle,"n. 胳肢, 痒
vt. 胳肢, 使发痒, 使快乐, 逗乐
vi. 觉得痒, 使人痒"
titillate,"vt. 呵...痒, 使觉得痒, 使兴奋, 使高兴, 使愉快"
thrash,"vt. 打, 使逆行, 胜过, 推敲, 鞭打
vi. 打谷, 痛打, 剧烈扭动, 逆行
n. 打谷, (划水)鞭状动作"
toss,"n. 投掷, 抛, 摇摆, 震荡, 掷钱币决定
vt. 投掷, 猛抬, 摇荡, 使不安, 掷钱币决定
vi. 被到处扔, 摇摆, 颠簸, 辗转, 掷钱币决定某事"
wallop,"vi. 乱窜, 猛冲
vt. 猛击, 击溃
n. 重击, 冲击力, 快感"
wiggle,"v. 扭动着行进, 摆动
n. 扭动, 摆动"
yawn,"n. 哈欠
vi. 打哈欠, 裂开
vt. 打着哈欠说"
slap,"n. 掴, 掌击, 侮辱, 拍击声
v. 拍击, 惩罚
adv. 正面地, 直接地, 突然地"
gesticulation,"n. 姿势, 手势, 用姿势表达"
grievance,"n. 委屈, 冤情, 苦况
[经] 不满(对雇用条件的)"
gripe,"n. 紧握, 柄, 把手, 控制
vt. 抓紧, 抱住, 使肠痛, 激怒
vi. 肠绞痛, 抱怨"
grouch,"n. 脾气的发作, 坏脾气, 不高兴的人, 心怀不满
vi. 闹脾气, 发牢骚"
grumble,"n. 怨言, 满腹牢骚
vi. 抱怨, 发牢骚, 发隆隆声
vt. 抱怨"
querulous,"a. 抱怨的, 爱发牢骚的, 易怒的"
remonstrance,"n. 抗议, 忠告, 规劝
[法] 抗议, 抗辩, 规劝"
mutter,"n. 喃喃低语
vi. 喃喃自语, 作低沉声
vt. 出怨言, 抱怨地说"
taunt,"n. 辱骂, 嘲弄
vt. 嘲弄, 奚落
a. 很高的"
badinage,"n. 开玩笑；嘲弄, 揶揄"
banter,"n. 戏谑, 嘲弄
v. 戏弄, 开玩笑"
deride,"vt. 嘲弄, 嘲笑"
jeer,"n. 嘲笑, 讥讽, 戏弄
v. 嘲弄, 揶揄, 戏弄"
mock,"n. 嘲笑, 戏弄, 模仿
a. 假的, 伪造的, 模拟的
adv. 虚伪地
vt. 嘲弄, 模仿, 使失望, 欺骗, 挫败
vi. 嘲弄"
persiflage,"n. 戏弄, 插科打诨, 嘲弄, 挖苦"
pillory,"n. 颈手枷, 笑柄, 示众
vt. 上颈手枷, 使惹人嘲笑, 使受众辱, 将...示众"
poke,"n. 刺, 戳, 袋子
vt. 戳, 捅, 拨弄, 刺
vi. 戳, 刺, 捅, 搜索, 伸出, 行动散慢
[计] 存数"
raillery,"n. 戏谑, 逗趣"
sardonic,"a. 嘲笑的, 冷笑的, 讥讽的
[医] 痉笑的"
scoff,"n. 嘲笑, 愚弄, 笑柄, 食品
v. 嘲笑, 嘲弄, 贪吃, 狼吞虎咽地吃"
sneer,"n. 冷笑, 嘲笑
vi. 嘲笑, 冷笑
vt. 嘲笑着说, 嘲笑得使"
spoof,"n. 幽默的讽刺诗文, 愚弄, 戏弄
v. 对...作幽默讽刺, 戏弄, 哄骗
a. 哄骗认的"
tease,"n. 揶揄, 戏弄, 逗惹
vt. 戏弄, 取笑, 强求, 梳理, 使起毛"
quizzical,"a. 戏弄的, 探询的, 古怪的"
jape,"n. 戏言, 笑料, 嘲弄
vi. 开玩笑
vt. 嘲弄"
mockery,"n. 嘲弄, 笑柄, 歪曲"
derision,n. 嘲笑
bantering,a. 开玩笑的
proscenium,"n. 舞台前部, 幕布及其装置, 舞台, 前部"
sublime,"a. 高尚的, 壮观的, 卓越的
v. 提高, (使)变高尚, (使)纯化, (使)升华
n. 庄严, 崇高, 顶点"
acclaim,"n. 喝彩, 欢呼, 赞同
v. 欢呼, 喝彩, 称赞"
accolade,"n. 荣誉, 赞美, 骑士爵位的授予礼, 连谱号"
admire,"vt. 赞美, 钦佩, 爱慕
vi. 称赞, 惊奇"
applaud,"v. 拍手喝彩, 称赞, 赞同"
applause,n. 欢呼，喝采；鼓掌欢迎
appreciate,"vt. 赏识, 鉴别, 为...而感激, 领会, 欣赏
vi. 增值, 涨价"
approbation,"n. 认可, 满意
[经] 许可, 认可, 批准"
compliment,"n. 恭维；称赞；问候；致意；道贺
vt. 恭维；称赞"
dabble,"vi. 玩水, 拨弄, 涉猎
vt. 溅湿"
eulogistic,"a. 颂扬的, 歌功颂德的, 称赞的"
eulogize,"vt. 称赞, 颂扬"
exalt,"vt. 提升, 提高, 赞扬, 使得意
vi. 使人兴奋, 使人得意"
extol,"vt. 颂扬, 称赞, 吹捧"
glorify,"vt. 赞美, 美化, 赞扬, 使辉煌"
glowing,"a. 白热的, 灼热的, 通红的, 鲜艳的
[化] 辉光"
laud,"n. 赞美, 称赞
vt. 赞美, 称赞"
magnify,"vt. 放大, 扩大, 赞美, 夸大
vi. 有放大能力"
meritorious,"a. 有功绩的, 有价值的, 可称赞的
[法] 有功的, 值得称赞的, 善意的"
ovation,"n. 热烈欢迎, 大喝采, 小凯旋式"
plaudit,"n. 拍手喝彩, 称赞, 赞美"
puffery,"n. 夸大广告, 吹捧"
rave,"n. 狂吼, 狂暴
v. 愤怒地说, 叫嚷, 咆哮"
rhapsody,"n. 吟诵史诗, 狂文, 狂喜, 狂想曲"
tout,"vi. 招徕顾客, 兜售物品
vt. 招徕, 刺探...情报
n. 兜售者, 侦查者"
tribute,"n. 贡物, 礼物, 颂辞"
integrity,"n. 正直, 廉正, 完整
[计] 完整性"
laudatory,"a. 赞美的, 赞赏的"
inspired,"adj. 有灵感的；官方授意的
v. 激发（inspire的过去分词）；鼓舞"
aspersion,"n. 诽谤, 中伤, 洒水
[医] 喷洒[法]"
calumniate,"vt. 中伤, 诽谤
[法] 诬蔑, 诽谤, 中伤"
calumny,"n. 诽谤, 中伤
[法] 诬告, 诽谤, 中伤"
defame,"vt. 诽谤, 中伤, 破坏名誉
[法] 诽谤, 中伤, 诋毁名誉"
denigrate,"vt. 使变黑, 玷污, 诋毁"
derogatory,"a. 贬损的
[法] 毁损的, 减损的"
libel,"n. 以文字损害名誉, 诽谤罪, 侮辱
v. 诽谤, 中伤, 损害名誉"
libelous,"a. 诽谤的, 败坏名誉的, 爱诽谤的, 诽谤性的"
slander,"n. 中伤, 诽谤
vt. 中伤, 诽谤"
slanderous,"a. 中伤性的, 中伤的, 挖苦人的
[法] 诽谤的, 造谣中伤的, 诋毁的"
traduce,"vt. 诽谤, 中伤, 背叛
[法] 诽谤, 中伤, 诋毁"
vilify,"vt. 诽谤, 贬低
[法] 诋毁, 中伤, 诽谤"
absurd,"a. 荒谬的, 不合理的, 可笑的
n. 荒诞"
comic,"n. 连环漫画, 喜剧演员, 滑稽的人
a. 滑稽的, 有趣的, 喜剧的"
droll,"a. 好笑的, 滑稽的, 逗趣的"
drollery,n. 玩笑
flirt,"n. 卖弄风骚的人, 急动, 急扔
vt. 忽然弹出, 轻快摆动, 挥动
vi. 调情, 玩弄, 摆动, 轻率地对待"
gibe,"v. 嘲笑
n. 嘲笑"
ironic,"a. 冷嘲的, 挖苦的, 反话的, 讽刺的, 令人啼笑皆非的, 出乎意料的"
jape,"n. 戏言, 笑料, 嘲弄
vi. 开玩笑
vt. 嘲弄"
jesting,"a. 爱开玩笑的, 打趣的, 说着玩的, 滑稽的, 逗趣的, 好笑的"
jocular,a. 诙谐的
ludicrous,"a. 可笑的, 滑稽的, 荒唐的"
mordant,"a. 尖酸的, 辛辣的, 有腐蚀性的
n. 腐蚀剂, 金属箔粘着剂, 媒染剂
vt. 媒染"
quaint,"a. 古雅的, 离奇有趣的, 奇怪的"
ridicule,"n. 嘲笑, 愚弄, 笑柄
vt. 嘲笑, 嘲弄, 愚弄"
sarcastic,"a. 讽刺的, 讥讽的"
satirize,"vt. 讽刺, 挖苦
vi. 写讽刺作品"
sidesplitting,a. 令人捧腹大笑的；令人笑破肚皮的
snide,"n. 赝品, 假珠宝
a. 伪造的, 不诚实的, 卑鄙的, 险恶的"
stultify,"vt. 使显得愚笨, 使变无效"
waggish,"a. 爱开玩笑的, 诙谐的"
wry,"a. 扭歪的, 歪曲的, 歪斜的
v. 扭曲, 扭歪"
burlesque,"n. (讽刺性的)诙谐模仿, 滑稽戏
a. 滑稽的, 可笑的"
caricature,"n. 讽刺画, 漫画, 漫画手法
vt. 画成漫画讽刺"
skit,"n. 讽刺文, 戏文, 小喜剧"
sarcasm,"n. 挖苦, 讽刺, 讽刺话, 讽刺性"
adulate,"vt. 谄媚, 过分称赞"
blandishment,"n. 甜言蜜语, 谄媚, 奉承"
caress,"n. 爱抚, 拥抱
vt. 爱抚, 抱, 宠爱"
cater,"v. 提供饮食及服务, 投合, 迎合"
complaisance,"n. 谦恭, 殷勤, 顺从"
complaisant,"a. 谦恭的, 殷勤的, 顺从的"
cringing,n. 奉承（的）
flatter,"vt. 奉承, 阿谀, 使高兴
[机] 平面锤"
grandstand,"n. 正面看台；观众；哗众取宠的表演
vi. 做博取观众喝采的演技
adj. 看台上的"
ingratiate,"vt. 使迎合, 使讨好"
ingratiating,"a. 逢迎的, 迎合的"
obsequious,"a. 谄媚的, 奉承的, 顺从的"
palaver,"n. 谈判, 交涉, 洽商, 废话, 奉承
vi. 唠叨, 拍马屁, 交涉, 用花言巧语骗人
vt. 笼络, 哄骗"
pander,"vi. 勾引, 怂恿, 卑劣地迎合
n. 拉皮条者, 怂恿者, 助恶者"
propitiate,"vt. 慰抚, 安抚, 和解, 谋求...的好感"
slaver,[地名] 奴河 ( 加 )
smarmy,"a. 虚情假意的, 爱说奉承话的"
utilitarian,"a. 有效用的, 实利主义的, 功利主义的
n. 功利主义者"
adulation,"n. 谄媚, 过分的称赞"
fawning,"a. 摇尾乞怜, 讨好, 奉承, 生(小鹿), 幼鹿, 小动物, 小山羊, 淡黄褐色, 浅黄褐色的"
boast,"n. 吹牛
vi. 吹牛, 自夸
vt. 夸口说, 自恃有"
bombast,n. 夸大的言辞
bombastic,"a. 夸大的, 夸夸其谈的"
charlatan,"n. 庸医
[医] 庸医, 江湖医"
declaim,"v. 慷慨陈词, 演讲, 朗读"
declamation,"n. 慷慨激昂的演说, 雄辩, 慷慨激昂的演说词"
exaggerate,"v. 夸大, 夸张"
exaggeration,"n. 夸张, 夸大的事物, 夸大之词"
gab,"n. 空谈, 爱说话, 多嘴
vi. 空谈, 瞎扯, 唠叨"
grandiose,"a. 宏伟的, 壮丽的, 夸张的
[医] 夸大的"
magniloquent,"a. 使用夸大文句的, 夸张的, 吹牛的"
orotund,"a. 朗朗的, 夸大的, 做作的"
ostentation,"n. 虚饰, 虚有其表, 卖弄"
overstate, 言过其实
rant,"v. 咆哮, 痛骂
n. 咆哮, 大话"
rodomontade,"n. 大言不惭, 吹牛
a. 自吹的, 吹牛的
vi. 大言不惭"
stilted,"a. 踏上高跷的, 虚饰的, 夸大的, 夸张的, 呆板的, 不自然的, 做作的"
turgid,"a. 肿的, 浮夸的
[医] 充满的, 胀满的"
vaunting,"a. 自吹自擂的, 吹嘘的, 傲慢的"
grandiloquent,"a. 大言不惭的, 夸张的, 夸大的"
ostentatious,"a. 装饰表面的, 铺张的, 夸示的, 华美的, 显眼的"
accuse,"vt. 指责, 控告, 归咎于
vi. 指责, 控告"
arraign,"vt. 提讯, 传讯, 责难
[法] 传讯, 提审, 控告"
assail,"vt. 攻击, 质问
[法] 攻击, 袭击, 著手解决"
anathematize,"v. 诅咒, 强烈遣责, 宣布革出教门"
barb,巴比
berate,vt. 严责
castigate,"vt. 惩罚, 苛评, 修订"
castigation,"n. 惩罚, 苛评, 修订"
chastise,"vt. 责骂, 惩罚
[法] 责罚, 惩戒, 严惩"
chide,"v. 斥责, 责骂"
condemn,"vt. 判刑, 责备, 谴责
[法] 定罪, 判刑, 宣告有罪"
critique,"n. 评论文章, 评论"
culpable,"a. 该责备的, 有罪的
[法] 应受处罚, 有罪"
damn,"n. 一点, 诅咒, 丝毫
interj. 该死, 该死的
vt. 诅咒, 罚...下地狱
vi. 指责, 谴责, 骂...该死, 证明...有罪"
denounce,"vt. 告发, 抨击, 谴责
[法] 谴责, 斥责, 告发"
denunciate,"vt. 告发, 抨击, 谴责"
denunciation,"n. 谴责, 告发
[经] 废止合同(契约), 宣告合同(契约等)无效"
diatribe,"n. 抨击, 谴责"
excoriate,"vt. 剥皮, 擦破皮肤, 严厉的责难"
flay,"vt. 剥皮, 去皮, 抢夺
[医] 剥皮, 剥兽皮"
fulminate,"vt. 使爆发, 以严词谴责
vi. 爆炸, 怒喝, 电闪
n. 雷酸盐, 烈性炸药"
impeach,"vt. 控告, 怀疑, 检举, 弹劾
[法] 控告, 检举, 弹劾"
impugn,"vt. 责难, 抨击, 攻击
[法] 驳斥, 指责, 非难"
invective,"n. 恶言漫骂, 臭骂
a. 漫骂的, 非难的, 恶言的"
inveigh,"vi. 痛骂, 漫骂, 臭骂"
lambaste,"vt. 痛打, 严责"
obloquy,"n. 辱骂, 毁谤, 耻辱"
pan,[网络] 一的炒米芳
rebuke,"n. 指责, 谴责, 非难
vt. 斥责, 指责, 制止"
reprehend,"vt. 申斥, 谴责, 非难"
reprehensible,"a. 应斥责的, 应该谴责的
[法] 应受严责的, 应受指责的, 应受申斥的"
reprimand,"n. 谴责, 惩戒, 非难
vt. 谴责, 惩戒, 严责"
reproach,"n. 责备, 耻辱
vt. 责备, 申斥, 使丢脸"
reprobate,"n. 堕落的人, 恶棍, 被神遗弃的人
a. 堕落的, 邪恶的
vt. 斥责, 非难, 拒绝"
reproof,n. 责备；谴责
reprove,v. 再证明
stricture,"n. 狭窄, 指责, 束缚
[医] 狭窄"
upbraid,"vt. 谴责, 责骂, 申斥"
censure,"n. 责难
vt. 非难, 指责"
animadversion,"n. 批评, 责备"
deplorable,"a. 可叹的, 悲惨的, 凄惨的"
excoriation,"n. 表皮脱落, 严厉责难, 苛责
[医] 表皮脱落"
adage,"n. 格言, 谚语"
dictum,"n. 声明, 格言, 法官意见
[法] 宣言, 声明, 法官的意见"
gnomic,"a. 格言的, 含格言的"
whisper,"n. 耳语, 密谈, 谣传, 沙沙声
vi. 耳语, 密谈, 沙沙地响
vt. 低声说"
endearment,"n. 亲爱, 钟爱"
accost,"vt. 招呼, 搭讪, 勾引
[法] 勾引, 引诱"
babble,"vi. 喋喋不休；呀呀学语；作潺潺声
vt. 含糊不清地说；泄露
n. 含糊不清的话；胡言乱语；潺潺声"
blurt,"vt. 冲口说出, 脱口说出"
colloquy,"n. 谈话, 会话, 讨论"
commune,"n. 恳谈, 社区, 公社
vi. 亲密交谈, (感情上)融为一体"
communicate,"vt. 显露, 传达, 感染
vi. 通讯"
converse,"n. 相反的事物, 倒, 逆向
a. 相反的, 逆向的, 颠倒的
vi. 交谈, 谈话"
ejaculate,"vt. 突然说出, 射出
vi. 射出, 射精
n. 精液"
