accustom,vt. 使习惯于
deterioration,"n. 恶化, 衰退, 退化
[医] 变坏, 变质, 颓废, 衰退"
detriment,"n. 损害, 损害物
[法] 损害, 伤害, 危害"
discard,"vt. 丢弃, 抛弃
vi. 垫牌
n. 垫牌, 抛弃"
disgust,"n. 厌恶, 嫌恶
vi. 令人厌恶
vt. 使作呕"
disposal,"n. 丢掉, 处理, 排列, 销毁, 布置
[医] 处理, 处置"
diversify,"vt. 使多样化, 使变化"
downfall,"n. 衰败, 大雨"
doze,"vi. 打瞌睡, 假寐
vt. 打瞌睡度过
n. 瞌睡"
drain,"n. 消耗；下水道；排水管；耗竭
v. 排空；流出；（使）流光；放干
[网络] 漏极；排水沟；耗尽"
drizzle,"n. 细雨
v. 下毛毛雨"
dump,"n. 垃圾场
vt. 倾倒, 倾销
vi. 倒垃圾, 倾销商品
[计] 转出; 转储; 倾卸; 切断电源"
dwarf,"n. 矮子, 侏儒
v. (使)变矮小"
ebb,"n. 退潮, 衰退
vi. 潮退, 衰退"
eclipse,"n. 日食, 月食, (地位名誉等的)消失
vt. 引起日食, 引起月食, 使黯然失色"
engulf,"vt. 卷入, 吸进, 吞没, 使全神贯注"
erode,"vt. 腐蚀, 侵蚀
vi. 受腐蚀"
erupt,"vi. 爆发
vt. 喷出"
evaporate,"vi. 蒸发, 失去水分, 消失
vt. 使蒸发, 使脱水, 使消失"
evolve,"vi. 进展, 进化, 展开
vt. 使发展, 使推断出, 使进化"
exceptional,"a. 例外的, 异常的, 特别的"
exceptionally,adv. 特殊地；异常地；例外地
exhale,"v. 呼气, 发出, 散发"
extinct,"a. 熄灭的, 灭绝的, 耗尽的
[法] 消灭了的, 过时的, 无效的"
extinction,"n. 消失, 消灭, 废止
[化] 消光; 熄灭"
filth,"n. 污秽, 不洁, 猥亵
[法] 污秽, 污物, 淫猥"
flap,"n. 飘, 摆动, 拍打, 拍打声, 片状垂悬物
v. 拍打, 鼓翼而飞, 飘动"
flare,"n. 闪光, 闪耀
vi. 闪光, 闪耀
vt. 用发光信号发出, 使闪耀, 使张开"
flash,"n. 闪光；闪光灯；闪耀；（尤指信号灯）闪亮
v. 闪光；掠过；（向…）用光发出（信号）；显示
adj. 庞大的；昂贵的；穿着奢华的
[网络] 闪存拨号；闪光系列；闪存盘文档"
fluff,"n. 软毛, 柔毛, 绒毛, 错误, 无价值的东西
vi. 起毛, 变松, 出错
vt. 使起毛, 抖松, 念错"
ford,"n. 福特[姓氏]；浅滩
v. 涉(水)；渡河；津渡
[网络] 福特汽车；福特汽车公司；福特公司"
frosty,"a. 霜冻的, 严寒的, 冷淡的"
fume,"n. 臭气, 烟, 激怒
vt. 熏
vi. 冒烟"
gaze,"n. 注视, 凝视
vi. 注视, 凝视"
glare,"n. 闪耀光, 刺眼
vi. 发眩光, 瞪视
vt. 瞪眼表示"
glaring,"a. 闪耀的, 炫目的, 瞪视的"
gleam,"n. 光束, 微光, 反光
vi. 闪烁, 隐约地闪现
vt. 使发微光, 使闪烁"
glimmer,"n. 一丝光线, 微光, 少许
vi. 发微光"
glint,"n. 闪光, 一闪
vi. 闪耀, 闪闪发光, 反射, 迅速移动
vt. 使发光, 使闪光"
glisten,"vi. 闪亮, 辉耀
n. 闪光, 闪耀"
glitter,"n. 灿烂, 闪烁, 辉耀
vi. 灿烂, 闪烁, 辉耀"
glow,"n. 赤热, 光辉, 热情, 热烈, 红光
vi. 发红光, 红光焕发, 发热, 洋溢, 激动"
glowing,"a. 白热的, 灼热的, 通红的, 鲜艳的
[化] 辉光"
gnaw,"v. 咬, 啃, 侵蚀, 消耗, 折磨"
grit,"n. 砂砾, 粗砂石
vt. 覆以砂砾, 咬牙切齿地说
vi. 摩擦作声"
hail,"n. 冰雹, 致敬, 欢呼, 招呼
vt. 向...欢呼, 致敬, 招呼, 使象下雹样落下
vi. 招呼, 下雹
interj. 万岁, 欢迎"
hardy,"a. 难的, 艰苦的, 坚硬的, 勇敢的
adv. 努力地, 辛苦地, 坚硬地"
harmful,"a. 有害的, 伤害的"
unharmful,a. 无害的
harmfully,adv. 有害地；伤害地
hemisphere,"n. 半球, 地球的半面, 大脑半球
[医] 半球"
hound,"n. 猎犬
vt. 带猎犬狩猎, 追捕, 激励, 使追逐"
impact,"n. 冲击, 冲突, 影响, 效果
vt. 挤入, 撞击, 压紧, 对...发生影响"
intensify,"vt. 加强
vi. 强化"
intensive,"adj. 加强的；集中的；透彻的；加强语气的
n. 加强器"
energy-intensive,adj. 能源消耗量大的，需消耗大量能源的，能源密集型的
intensively,adv. 强烈地；集中地
interval,"n. 间隔, 距离, 间歇, 间隙
[计] 时间间隔"
jungle,"n. 丛林, 杂乱的一堆, 弱肉强食的地方"
kindle,"vt. 点燃, 使着火, 引起, 照亮
vi. 着火, 激动, 发亮"
lap,"n. 膝盖, 舔, 一圈, 下摆, 衣兜, 山坳
vi. 重叠, 围住, 轻拍, 舔
vt. 包围, 抱...在膝上, 使重叠, 舔, 拍打, 泼溅
[计] 链接访问程序"
lay,"vt. 躺下；产卵；搁放
adj. 世俗的；外行的
n. 位置；短诗；花纹方向
vi. 下蛋；打赌
v. 躺；位于（lie的过去式）
n. (Lay)人名；(中)雷(普通话·威妥玛)；(英、法、德、意、匈、罗)莱；(缅)礼"
leap,"n. 跳跃, 剧增, 急变, 被越过之物
vi. 跳跃, 突然经过
vt. 跃过, 使跃过"
liquid,"n. 液体, 流体, 流音
a. 液体的, 透明的, 明亮的, 流动的, 易变的"
litter,"n. 垃圾, 杂乱, 轿, 担架
vt. 乱丢, 铺草, 弄乱
vi. 产仔, 乱丢垃圾"
loom,"n. 织布机, 若隐若现的景象
vi. 朦胧地出现, 隐约可见, 可怕地出现"
magnify,"vt. 放大, 扩大, 赞美, 夸大
vi. 有放大能力"
maintain,"vt. 维持, 维修, 保持, 坚持, 供养, 主张
[化] 维修"
maintenance,"n. 维护, 保持, 维修, 生活费用, 坚持, 扶养
[计] 维护; 维修"
melt,"n. 熔化, 熔化物, 溶解
v. (使)熔化, (使)溶解, (使)消散, (使)变软"
melting,"a. 熔化的, 温柔的, 令人感动的, 甜美的
[化] 熔化"
moan,"n. 呻吟, 悲叹
vi. 呻吟, 抱怨, 悲叹
vt. 呻吟着说"
murmur,"n. 低语, 低声的怨言
vi. 低语, 低声而言
vt. 低声说"
neglect,"n. 疏忽, 忽略, 漏做
vt. 疏忽, 忽视, 不顾"
obligation,"n. 义务, 责任, 约束, 契约, 恩惠, 债务
[经] 待付款, 债务, 义务"
obscure,"a. 模糊的, 昏暗的, 难解的, 晦涩的, 偏僻的, 微贱的, 无名的
vt. 使变暗, 隐藏, 使变模糊, 使难解"
obvious,"a. 明显的, 明白的, 显然的, 平淡无奇的"
odd,"a. 奇数的, 古怪的, 剩余的, 零散的, 各种各样的, 少量的
n. 奇特的事物, 怪人
[计] 奇数, 奇校验, 光数据数字转换器"
outlet,"n. 出口, 发泄方法, 市场
[医] 出口"
overflow,"n. 溢值, 超值, 泛滥
v. (使)泛滥, (使)溢出, (使)充溢
[计] 上溢; 溢出"
penetrate,"vt. 穿透, 刺穿, 渗透, 看穿, 洞察, 了解, 使充溢
vi. 刺入, 看穿, 渗透, 打进"
perch,"n. 栖木, 高位, 杆, 河鲈
v. (使)栖息, 就位, 位于, (使)暂歇"
permanent,"a. 永久的, 不变的, 固定的, 持久的
n. 烫发
[计] 永久的"
permanently,"adv. 永久, 不变, 持久
[计] 永久性的"
perpetual,"a. 永久的, 不断的, 无期限的, 没完没了的, 四季开花的
[经] 永远的, 终身的, 持续的"
phase,"n. 时期, 局面, 方面, 位相, 相, 阶段
vt. 使调整相位, 使定相, 使一致, 逐步执行, 实行
[计] 阶段"
preserve,"vt. 保护, 保持, 保存, 维持, 腌, 禁猎
vi. 加工食品, 禁猎
n. 加工成的食品, 禁猎地, 保护区, 防护物"
pressure,"n. 压, 榨, 按, 强制, 压力, 压迫, 压强
vt. 迫使, 使增压, 密封"
pressurize,"vt. 迫使, 使增压, 密封, 使耐压
[化] 增压"
prey,"n. 被掠食者, 牺牲者
vi. 捕食"
prick,"vt. 刺, 戳, 刺痛, 使竖起
vi. 刺, 竖起
n. 扎, 一刺, 刺痛
a. 竖起的"
prohibit,"vt. 禁止, 阻止
[经] 禁止"
range,"n. 排, 行, 山脉, 范围, 行列, 射程
vt. 排列, 归类于, 使并列, 放牧
vi. 平行, 延伸, 漫游
[计] 量程; 范围; 域; 距离"
ravage,"n. 破坏, 蹂躏
v. 毁坏, 破坏, 掠夺"
scarce,"a. 难得的, 稀罕的, 缺乏的"
scarcity,"n. 缺乏, 不足, 缺少
[经] 缺乏, 不足"
scenery,"n. 风景, 景色, 舞台布景"
seal,"n. 印章, 封条, 海豹, 海豹皮, 火漆, 封蜡, 玺, 保证, 批准, 象征, 标志
vt. 封闭, 盖印, 盖章
vi. 猎海豹"
shadowy,"a. 有影的, 暗黑的, 朦胧的, 虚幻的"
shallow,"n. 水浅的地方, 浅滩
a. 浅的, 肤浅的
v. (使)变浅"
shallowness,n. 浅；肤浅
snap,"adv. 突然
v. （使咔嚓）断裂；移到某位置；厉声说；怒气冲冲地说
n. （尤指关上或断裂的声音）啪嗒声；（尤指抢拍的）照片
abbr. (=systems for nuclear auxiliary power)核辅助动力系统
adj. 匆忙的；仓促的
int. （在“对儿”牌游戏中出现同样的牌时喊的）对儿
[网络] 捕捉；猛咬；快照"
span,"n. 持续时间；范围；包括的种类；跨度
v. 持续；贯穿；包括（广大地区）；涵盖（多项内容）
[网络] 加那利群岛；巴利亚里群岛"
sparkle,"n. 闪耀, 火花, 活力, 发泡
vi. 闪耀, 冒火花
vt. 使闪耀"
spectacular,"a. 公开展示的, 惊人的, 壮观的
n. 奇观, 惊人之举, 展览物"
spill,"n. 溢出, 溅出, 摔下, 溢出量, 木片, 小塞子
vt. 使溢出, 使散落, 洒, 使流出, 倒出, 使摔下
vi. 溢出, 涌流, 摔下"
spit,"n. 唾液, 唾吐, 小雨, 炙叉, 一铲的深度
vt. 唾吐, 吐出, 降小雨, 用炙叉穿过
vi. 吐唾沫, 吐痰, 唾弃, 飘霏霏细雨"
splash,"v. 泼洒；哗啦哗啦地溅；噼里啪啦地落；溅在…上
n. 落水声；溅泼声；溅上的液体；溅洒后留下的污渍
[网络] 飞溅；美人鱼；水花"
spray,"n. 水沫, 浪花, 水花, 喷雾, 喷雾器, 小树枝
vt. 喷雾, 扫射, 喷射
vi. 喷, 溅开"
sprout,"n. 芽, 萌芽
vt. 使发芽, 摘去芽
vi. 长芽, 抽条"
squat,"n. 蹲, 窝
a. 蹲着的, 矮胖的
vi. 蹲下, 蹲坐, 蹲伏
vt. 使蹲下, 擅自占有"
stem,"n. 茎, 干, 柄, 船首, 血统, 堵塞物
vt. 摘掉茎, 装柄于, 阻止, 堵住, 逆行
vi. 堵住, 逆行"
stifle,"vt. 使窒息, 抑止, 扼杀
vi. 窒息, 被扼杀"
swallow,"n. 燕子, 吞咽, 喉
vt. 咽, 淹没, 吞没, 耗尽, 轻信, 忍受, 抑制
vi. 吞下, 咽下"
swarm,"n. 群, 大群, 蜂群, 分蜂群
vi. 分群, 群集, 聚集一块, 云集, 攀
vt. 挤满, 爬, 攀"
swell,"n. 增大, 隆起的部分, 巨浪, 肿胀
a. 优秀的, 一流的
vi. 增大, 膨胀, 肿胀, 增强, 骄傲
vt. 使膨胀, 使增大, 使上涨, 使骄傲"
swing,"n. 摇摆, 振幅, 音律, 节奏, 涨落, 秋千, 旋转, 行动自由
vi. 摇摆, 悬挂, 旋转, 大摇大摆地走, 转向
vt. 挥舞, 使旋转, 使转向, 悬挂, 吊运
a. 旋转的, 悬挂的, 强节奏爵士音乐的"
teem,"vi. 充满, 充足, 倾注
vt. 倒出"
temperate,"a. 温和的, 适度的, 有节制的, 温带的"
thaw,"n. 融解, 融化, 解冻时期
vt. 使融解, 使缓和
vi. 融化, 解冻"
trot,"n. 快步
vi. 快步走, 小跑
vt. 使小跑, 策马小跑"
vital,"a. 生命的, 重要的, 充满活力的, 生死攸关的, 致命的
[医] 生命的, 生活的, 生活上必需的, 紧要的"
wind,"n. 风, 气息, 气味, 呼吸, 风声, 趋势, 空谈, 卷绕, 弯曲
vt. 使通风, 嗅出, 使喘气, 吹号角, 上发条, 缠绕, 包, 绞起, 吊起, 使弯曲, 使迂回
vi. 嗅出猎物, 吹响号角, 卷曲, 蜿蜒, 迂回, 缠绕"
unwind,"vt. 展开
[化] 拆卷; 开卷"
altitude,"n. 高度, 海拔, 高处
[电] 高度"
antarctic,"a. 南极的, 南极地带的
n. 南极地区"
ape,"n. 无尾猿
[计] 应用程序评价"
aquatic,"n. 水生动物, 水生植物
a. 水生的, 水中的, 水上的"
arctic,"a. 北极的, 极寒的
n. 北极圈, 北极"
ascent,"n. 上升, 提高, 攀登, 上坡路"
avalanche,"n. 雪崩, 山崩, 大量
vi. 崩塌
vt. 大量涌至"
axis,"n. 轴
[计] 坐标轴"
axle,"n. 轴, 车轴
[电] 轴"
bait,"n. 饵
vt. 以饵引诱, 欺负
vi. 中途休息"
bamboo,"n. 竹子
[医] 竹类"
bay,"n. 海湾, 狗吠声, 月桂
vt. 吠, 使走投无路
vi. 吠"
beast,"n. 畜生, 动物, 野兽, 兽性"
beetle,"n. 甲虫, 大槌
vi. 快速移动
vt. 捶"
binoculars,"n. 双目镜, 双筒镜
[机] 双目镜"
biotechnology,[网络] 生物科技；生物技术；生物技术简介
botanical,"a. 植物学的
n. 植物性药材"
botany,"n. 植物学
[医] 植物学"
bouquet,"n. 花束
[医] 丛, 酒香, 末梢分极"
breeze,"n. 微风, 煤屑, 轻而易举的事
vi. 吹微风, 逃走"
bristle,"n. 刚毛, 猪鬃
vi. 直立, 发怒, 充满
vt. 使直立"
buck,"n. 元, 雄鹿, 纨绔子弟, 鞍马, 培克(赌博时的庄家标志), 碱水, 自夸, 谈话
vi. 马背突然拱起, 反对, 吹牛, 闲聊
vt. 马背突然拱起将骑手摔下, 反对, 用碱水洗
a. 雄的"
bud,"n. 芽, 花蕾
vi. 发芽, 萌芽
vt. 使发芽"
bug,"n. 错误, 虫, 病菌, 缺陷, 窃听器, 癖好, 防盗报警器, 双座小汽车, 要人
vt. 装防盗报警器, 装窃听器, 激怒
vi. 捉虫, 暴突
[计] 缺点, 错误"
buzz,"n. 嗡嗡声, 流言
vi. 发出嗡嗡声, 说闲话
vt. 使嗡嗡叫, 散布"
calf,"n. 小牛, 小牛皮, 腓肠
[医] 腓肠"
camel,"n. 骆驼, 打捞浮筒"
cane,"n. 手杖, 细长的茎, 藤条
vt. 以杖击, 以藤编制"
canine,"n. 犬齿, 犬
a. 犬的, 似犬的, 犬科的"
cellular,"adj. 细胞的；由细胞组成的；（无线电话）蜂窝状的；网状的
[网络] 一线生机"
cherry,"n. 樱桃, 樱桃树, 樱桃色
[医] 樱桃"
chestnut,"n. 栗子, 栗树, 栗色
a. 栗色的"
claw,"n. 爪, 螯, 抓伤
v. 用爪抓, 挖, 搜刮"
cliff,"n. （常指海洋边的）悬崖
[网络] 峭壁；绝壁；克里夫"
clone,"n. 无性系
[计] 代用件"
cockroach,"n. 蟑螂
[医] 蟑螂"
coincidence,[网络] 巧合；生命中的每一刻都是巧合；发生之状况
comet,n. 彗星
conservation,"n. 保护, 保存
[医] 保存"
constellation,"n. 星座, 荟萃
[化] 构象"
consumption,"n. 消费, 消费量, 痨病
[化] 消耗量; 耗量"
coral,"n. 珊瑚；珊瑚虫
adj. 珊瑚的；珊瑚色的
n. (Coral)人名；(英、法、西、葡)科拉尔"
cornea,"n. 角膜
[医] 角膜"
cosmic,"adj. 宇宙的；巨大且重要的
[网络] 广大无边的；宇宙大；宇宙表"
cosmos,"n. 宇宙, 秩序, 和谐, 大波斯菊
[医] 大波斯菊"
cow,"n. 母牛；【动】奶牛；肉牛；雌(象,鲸等)
v. 恐吓；威吓
[网络] 冒险北海道；牛郎织女；牛仔五分裤"
crack,"n. 裂缝；裂纹；缝隙；尝试
v. 断裂；破裂；打击；崩溃
adj. 训练有素的；技艺高超的；优秀的；一流的
adv. 尖锐地
[网络] 破解；裂痕；龟裂"
cracking,"n. 裂解, 分解
a. 敏捷的, 很好的
adv. 非常, 极其"
cracked,"a. 破碎的, 破裂的, 声音嘶哑的
[建] 有裂缝的, 裂化的"
crag,"n. 峭壁, 危岩
[建] 岩石碎块"
creature,"n. 人, 动物, 创造物, 生物"
creek,"n. 小溪, 小河, 小湾"
crest,"n. 冠, 饰毛, 头盔的顶部
vi. 到达绝顶
vt. 加以顶饰"
cycle,"n. 周期, 循环, 自行车, 一段时间, 整套
vi. 循环, 轮转, 骑自行车
vt. 使循环, 使轮转
[计] 环路; 周期; 循环"
cyclone,"n. 龙卷风, 暴风
[化] 旋流(分离,除尘)器"
daybreak,"n. 破晓
[网络] 黎明之家；旦"
daylight,"n. 白昼, 日光
vt. 使沐浴于日光
vi. 享有日光"
delta,"n. 三角洲, 希腊字母的第四个字
[医] δ(希腊文的第四个字母), 丁种, 三角, 三角形区"
dinosaur,n. 恐龙
dioxide,"n. 二氧化物
[医] 二氧化物"
dissolution,"n. 分解, 溶解, 解散, 结束
[化] 溶解; 溶解作用"
dove,"n. 鸽子
dive的过去式"
downpour,n. 倾盆大雨；注下
drip,"n. 水滴
v. (使)滴下"
drought,"n. 干旱, 缺乏"
dusk,"n. 薄暮, 傍晚, 黄昏
a. 微暗的
v. (使)微暗"
ecosystem,abbr. ecological system 生态学系统; economic system 经济学系统
embryo,"n. 胚胎, 胎儿, 胚芽
[医] 胚, 胚胎"
emergence,"n. 出现, 浮现, 发生"
environment,"n. 环境, 外界, 围绕
[计] 环境"
environmentalist,n. 环保人士
erosion,"n. 腐蚀, 冲蚀, 侵蚀
[化] 磨耗; 侵蚀"
evergreen,"un. 常青
[网络] 爱情万年青；长青树；常绿州"
female,"n. 女性, 女人, 雌性动物
a. 女性的, 女子的"
finite,"a. 有限的, 有穷的, 限定的
n. 有限物"
flea,"n. 跳蚤
[医] 蚤"
foggy,"a. 雾深的, 模糊的"
freezing,"a. 冰冻的, 冷冻用的, 严寒的
[化] 冻结; 冻结作用; 凝固; 凝固作用"
freshwater,"adj. 淡水的；只习惯于淡水航行的；不知名的
[网络] 无经验的；内地的"
frost,"n. 霜, 冰冻, 冷漠
vt. 覆着霜, 冻结, 结霜
vi. 受冻, 起霜"
frozen,"a. 冻结的, 冰冷的, 严寒的, 冻伤的, 冷酷的
freeze的过去分词"
fruitless,"a. 不结果的, 不长果实的, 无子的"
gale,"n. 狂风, 大风, 定期租金
[经] 地租, 年金"
gap,"n. 缝隙, 缺口, 间断, 间距, 通用汇编程序
vt. 打开缺口, 造成缝隙
vi. 豁开
[计] 通用汇编程序, 图形应用程序, 间距"
gender,"n. 性
vt. 产生"
geographic,"a. 地理(学)的, 地区(性)的"
geographical,"a. 地理学的, 地理的"
glacier,n. 冰川
growl,"n. 吠声, 咆哮声
v. 怒吠, 咆哮, 吼"
gulf,"n. 海湾, 深渊, 漩涡, 隔阂
vt. 吞没"
gust,"n. 突然一阵, 趣味, 爱好"
habitat,"n. 栖息地, 居留地, 自生地, 聚集处
[医] 习生地, 产地, 生境, 栖所"
habitation,"n. 居住, 住所"
headwind,"n. 逆风, 顶风"
highland,"n. 高地, 苏格兰高地"
hop,"n. 啤酒花；单足短距离跳跃；（动物或鸟的）齐足（或双足）短距离跳跃
v. 单脚跳行；齐足（或双足）跳行；突然快速去某处
[网络] 拯救小兔；单足跳；忽布"
horn,"n. 喇叭，号角；角
vt. 装角于
n. (Horn)人名；(英、德、匈、捷、罗、波、芬、希、瑞典)霍恩；(法)奥尔恩；(柬)洪"
horned,"a. 有角的, 角状的"
howl,"n. 嗥叫, 吠声, 号叫
vi. 狂吠, 咆哮, 呼啸
vt. 对...吼叫, 狂喊着说"
humid,"a. 潮湿的, 湿润的, 多湿气的"
humidify,vt. 使潮湿
hurricane,"n. 飓风, 暴风, 暴风雨"
inhale,"vt. 吸入
vi. 吸气"
inland,"a. 内陆的, 国内的
n. 内地"
inlet,"n. 进口, 插入物
[化] 入口; 进口; 投料口; 供料口"
insect,"n. 昆虫, 卑鄙的人
[医] 昆虫"
ivory,"n. 象牙, 乳白色
a. 象牙制的, 乳白色的"
junk,"n. 垃圾, 乌七八糟的东西, 舢板
[计] 清除"
lamb,"n. 羔羊；小羊；羊羔肉；（慈爱或怜悯地描述或称呼某人）宝贝
v. 产羊羔
[网络] 兰博基尼"
larva,"n. 幼虫
[医] 幼虫(昆虫), 蚴(蠕虫)"
lava,"n. 熔岩, 火山岩
[医] 火山石(一种顺势疗法药)"
lawn,"n. 草地, 草坪, 上等细麻布
[机] 细筛"
lightning,"n. 闪电
vi. 闪电
a. 闪电的"
lime,"n. 石灰, 粘鸟胶, 酸橙
vt. 以石灰处理, 粘鸟胶于, 撒石灰"
limestone,"n. 石灰石
[化] 石灰石; 石灰岩"
mainland,"n. 大陆, 本土
[法] 大陆"
mammal,"n. 哺乳动物
[化] 哺乳动物"
marble,"n. 大理石, 石弹, 雕刻品
a. 大理石的, 冷酷无情的, 有大理石花纹的"
marsh,"n. 湿地；沼泽地；沼泽湿地；草沼
v. 湿地
[网络] 达信；马什；玛希"
mist,"n. 雾, 迷蒙, 朦胧不清
vt. 使模糊, 使蒙上雾
vi. 变模糊, 下雾"
misty,"a. 有雾的, 模糊的, 笼罩着雾的"
moist,"a. 潮湿的, 多雨的, 感伤的, 含泪的
[医] 湿的"
moisture,"n. 湿气, 水分, 降雨
[化] 含水量; 含湿量"
moor,"n.荒野；旷野
Moor: 摩尔人.
v.系住；停泊"
mosquito,"n. 蚊子
[医] 蚊"
mountainous,"a. 多山的, 如山的, 巨大的"
mud,[网络] 书背作准给他上密西根
mushroom,"n. 蘑菇形物, 蘑菇, 暴发户
vi. 迅速生长, 迅速增加, 采蘑菇
a. 蘑菇形的, 迅速生长的"
nest,"n. 巢, 窝, 休息所, 隐匿处
vi. 筑巢, 找鸟巢
vt. 为...设窝, 使套叠
[计] 嵌套"
offshore,"adv. 离岸, 近海岸
a. 离岸的, 向海的, 近海的, (美)国外的"
